"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Goldschmidt, Paul","502671","49","14.1",44.9,"109.2","89.5","100.7","93.3","81","413","187","413","20",40.8,"4",8.2,6.1
"Peña, Jeremy","665161","48","9.6",37.5,"107.2","91.4","101.7","95.7","86.7","407","171","387","25",52.1,"6",12.5,9.1
"India, Jonathan","663697","48","26.2",35.4,"107.2","91","99.9","94.6","94.2","401","181",,"20",41.7,"2",4.2,3
"Schanuel, Nolan","694384","48","4.1",35.4,"109.8","86.8","96.5","90.7","83.7","383","144","377","12",25,"2",4.2,3.2
"Soto, Juan","665742","48","8.3",27.1,"112.4","93.2","103.1","97.7","89.8","405","138","398","23",47.9,"4",8.3,5.7
"Giménez, Andrés","665926","48","5.5",31.3,"105.6","88.2","98.8","93.5","83.5","407","161","385","17",35.4,"3",6.3,4.2
"Lee, Jung Hoo","808982","48","6.7",43.8,"104.5","90.4","100.6","90.8","89.9","406","161","385","21",43.8,"5",10.4,7.6
"Rooker, Brent","667670","48","11.6",33.3,"108","90.8","101","97","84.1","425","172","386","24",50,"8",16.7,11
"Carroll, Corbin","682998","47","15.3",42.6,"115.8","96.3","106.9","100.7","91.3","415","196","398","29",61.7,"10",21.3,13.7
"Alonso, Pete","624413","47","14",42.6,"114.5","95.9","106.9","101","88.6","415","197","388","30",63.8,"12",25.5,17.4
"Rengifo, Luis","650859","47","5.5",36.2,"106.4","87.4","98","92.4","82.7","402","150","402","15",31.9,"3",6.4,5.1
"Castellanos, Nick","592206","47","17.5",53.2,"105.3","90.7","100.3","95.2","80","414","217","401","21",44.7,"6",12.8,9.5
"Story, Trevor","596115","47","11.5",34,"108.7","89.5","103.1","96.8","84.8","404","160","387","25",53.2,"5",10.6,7
"Butler, Lawrence","671732","47","10.8",31.9,"111.1","91.6","103.7","95.6","88.7","435","176","435","23",48.9,"6",12.8,9
"Ramos, Heliot","671218","47","13.2",31.9,"109.8","89.5","101","97.2","85.6","391","168","363","21",44.7,"5",10.6,6.9
"Adames, Willy","642715","46","19.9",23.9,"103","88.7","98.5","95.7","82.3","384","168","378","20",43.5,"3",6.5,4.2
"Lowe, Brandon","664040","46","10.2",41.3,"111.6","90.7","102.1","96.2","83.7","409","181","395","23",50,"6",13,9.8
"Castro, Willi","650489","46","18.7",37,"109.9","85.5","98.7","91.1","81.1","387","177","387","16",34.8,"3",6.5,4.6
"Bogaerts, Xander","593428","46","10.3",39.1,"112.2","91.5","100.8","92.8","89.6","369","170",,"20",43.5,"1",2.2,1.4
"Hayes, Ke'Bryan","663647","46","13.6",34.8,"106.3","91.8","101.6","97.1","88.9","388","163","348","24",52.2,"3",6.5,4.8
"Soderstrom, Tyler","691016","46","12.3",41.3,"111.7","92.8","104.2","99.2","88.5","432","173","387","23",50,"8",17.4,11.9
"Kiner-Falefa, Isiah","643396","46","7.9",34.8,"104.9","86.9","97","89.7","87","368","141",,"14",30.4,"0",0,0
"García Jr., Luis","671277","46","6.1",28.3,"108.1","88","98.9","92","85.4","392","155","392","18",39.1,"3",6.5,5.6
"Paredes, Isaac","670623","46","20.6",37,"107.4","88.6","100.3","91.9","82.7","372","194","363","21",45.7,"1",2.2,1.4
"Rutschman, Adley","668939","46","15.2",39.1,"108.8","89.2","99.3","92.9","82.2","436","195","426","16",34.8,"4",8.7,6.6
"Semien, Marcus","543760","45","15.5",17.8,"106.4","87.6","96.2","90.2","86.3","389","147","389","12",26.7,"2",4.4,3.2
"Riley, Austin","663586","45","27.3",53.3,"113.2","93.5","106.1","96.2","89.9","444","233","418","23",51.1,"10",22.2,14.3
"Vientos, Mark","668901","45","8.3",37.8,"110.4","90","99.5","96.1","82.7","366","154",,"15",33.3,"3",6.7,4.5
"Olson, Matt","621566","45","5.1",26.7,"113.4","95","103.9","99.7","92.5","434","148","434","27",60,"8",17.8,11.6
"Contreras, William","661388","45","0.6",28.9,"114.1","86.1","98.2","98.1","79.3","408","130","386","14",31.1,"3",6.7,4.5
"Perez, Salvador","521692","45","17.8",44.4,"110.6","90.9","102","94","84.7","418","199","406","21",46.7,"7",15.6,10.1
"Reynolds, Bryan","668804","45","5.7",37.8,"112","91.4","102.5","94.2","88.8","410","153","401","20",44.4,"5",11.1,6.8
"Harper, Bryce","547180","45","15.3",31.1,"109.5","91.9","102.7","94.3","88.9","415","181","408","22",48.9,"5",11.1,6.9
"Trout, Mike","545361","44","19.9",40.9,"107.9","89.3","101.9","96","81.3","429","211","390","20",45.5,"8",18.2,11.9
"Larnach, Trevor","663616","44","5.5",25,"111.3","87.2","99.6","91.1","85.6","325","118",,"16",36.4,"0",0,0
"Edwards, Xavier","669364","44","10.1",27.3,"101.2","81.8","93","86.6","78.4","340","133",,"8",18.2,"0",0,0
"Langeliers, Shea","669127","44","12.5",31.8,"109.6","92.6","103.3","94.2","91.2","429","159","394","22",50,"3",6.8,5.1
"Garcia, Maikel","672580","44","11.1",40.9,"108.9","95.1","103.7","96.8","93.7","428","179","413","26",59.1,"3",6.8,5.3
"Santana, Carlos","467793","44","13.2",31.8,"111.3","87.6","101.9","93.5","90.3","415","143","413","20",45.5,"5",11.4,7.8
"Doyle, Brenton","686668","43","9.4",34.9,"109.5","90.6","101.2","91.5","89.6","403","178","391","20",46.5,"6",14,10.7
"Rodríguez, Julio","677594","43","4.2",34.9,"113.3","93.1","102.8","98.1","88.8","438","155","417","24",55.8,"4",9.3,5.6
"De La Cruz, Elly","682829","43","10.1",34.9,"110.7","94.5","104","97.9","91.6","436","169","414","24",55.8,"9",20.9,13.4
"García, Adolis","666969","43","25.8",34.9,"113.6","94.3","103.1","94.4","95.3","431","233","423","23",53.5,"8",18.6,13.6
"Caminero, Junior","691406","43","3.3",25.6,"111.8","91.3","101.6","96.2","89.1","413","138","396","20",46.5,"5",11.6,8.5
"Judge, Aaron","592450","43","15.5",37.2,"116.8","96.5","107.9","99.1","93.9","468","189","416","26",60.5,"11",25.6,15.1
"Suzuki, Seiya","673548","43","17.6",51.2,"114.3","92.4","103.4","94.1","91.3","445","201","403","21",48.8,"6",14,7.8
"Campbell, Kristian","692225","43","13",32.6,"112.2","88.1","100.6","95.9","81.4","431","156","400","17",39.5,"4",9.3,5.8
"Alvarez, Yordan","670541","42","20.5",40.5,"113.6","94.9","102.9","98","93.2","418","197","418","20",47.6,"6",14.3,8.8
"Schwarber, Kyle","656941","42","15.7",35.7,"116.7","94.8","105.9","100.1","88.4","462","181","423","26",61.9,"7",16.7,9.7
"Busch, Michael","683737","42","14.8",42.9,"107.8","91.9","101.5","95","86.9","403","195","391","21",50,"6",14.3,9.1
"Bleday, JJ","668709","42","11.1",23.8,"109.9","89","101.6","93.3","87.1","381","133","357","20",47.6,"1",2.4,1.6
"Carpenter, Kerry","681481","42","22.3",47.6,"109.2","93.3","101.8","98.5","85.4","403","221","368","21",50,"8",19,14.3
"Ramírez, José","608070","42","27.2",38.1,"108.2","87.6","97.2","90.5","89.2","408","204","391","15",35.7,"4",9.5,7
"Devers, Rafael","646240","41","13.3",39,"110.4","94.2","103.2","96.5","93.8","395","168","393","24",58.5,"7",17.1,8.8
"Turner, Trea","607208","41","13.6",39,"107","84.9","95.2","91.7","79","402","175","402","9",22,"2",4.9,3.3
"Raleigh, Cal","663728","41","20.7",39,"110.4","93.3","103.1","95.1","95.7","420","189","375","21",51.2,"9",22,13.2
"Rafaela, Ceddanne","678882","41","8.2",26.8,"104.5","86.2","98.1","92.3","82.5","379","133",,"16",39,"3",7.3,5.5
"Andujar, Miguel","609280","41","9.2",36.6,"111.4","87.6","99.4","88.4","86.9","360","149","341","14",34.1,"1",2.4,1.9
"Burleson, Alec","676475","41","15.2",19.5,"110.4","90.6","99.7","93.8","91.6","373","134",,"17",41.5,"0",0,0
"Volpe, Anthony","683011","41","16",26.8,"110.5","90.5","100.3","94.5","87.4","418","190","369","17",41.5,"6",14.6,9
"Shaw, Matt","807713","40","13.2",30,"106.5","82.7","93.8","87.2","84.1","379","130","379","9",22.5,"1",2.5,1.5
"Yelich, Christian","592885","40","1.8",30,"113.4","91.2","102.3","97.4","87.4","465","147","434","20",50,"2",5,3.1
"Torkelson, Spencer","679529","40","16.3",45,"110.5","92.5","102.7","97.1","84.8","423","208","402","21",52.5,"6",15,8.5
"McKinstry, Zach","656716","40","11.3",47.5,"104.4","86.2","96.5","91.7","82.1","377","160","377","14",35,"2",5,3.4
"Mangum, Jake","663968","40","-1.2",25,"106.4","89","97.8","93.2","87.8","362","114",,"16",40,"0",0,0
"Kirk, Alejandro","672386","40","17.8",22.5,"107.9","90","101.1","95.4","88.2","389","149","389","20",50,"1",2.5,2
"Frazier, Adam","624428","40","10.4",27.5,"98.4","85.3","93.8","87","85.3","351","144","347","6",15,"0",0,0
"Scott II, Victor","687363","40","11.4",37.5,"106.6","87.4","98.9","91.5","84.2","396","162","396","14",35,"3",7.5,4.8
"Contreras, Willson","575929","40","9.2",42.5,"110.3","87.1","99.9","94.2","83.4","382","152","368","14",35,"2",5,3
"Seager, Corey","608369","39","10.5",23.1,"110","88.8","100.2","93","84.6","384","171","371","16",41,"5",12.8,8.9
"Casas, Triston","671213","39","19.2",43.6,"110.9","87.1","98","91.6","81.4","377","185","377","12",30.8,"4",10.3,6.5
"Kepler, Max","596146","39","7",28.2,"109.3","87.9","99.1","91.9","86.5","386","143","382","17",43.6,"3",7.7,5.4
"Westburg, Jordan","676059","39","11.3",28.2,"110","89.5","102","94.1","84.2","434","164","414","17",43.6,"6",15.4,10.5
"Chisholm Jr., Jazz","665862","39","18.6",35.9,"109.5","88.8","100.5","92.6","82.1","442","211","382","17",43.6,"8",20.5,11.6
"Abreu, Wilyer","677800","39","19",46.2,"110.8","92.7","104.2","94.8","89.5","415","182","400","21",53.8,"5",12.8,7.6
"Vaughn, Andrew","683734","39","13.4",35.9,"108.5","91.2","101.6","94.3","90.2","384","161","371","21",53.8,"5",12.8,8.8
"Roden, Alan","702176","38","-1.5",18.4,"107.6","83","96.3","88.9","82.5","377","87",,"10",26.3,"0",0,0
"Mountcastle, Ryan","663624","38","8.4",36.8,"116.7","92.6","102.7","96.4","87.4","388","169","388","21",55.3,"7",18.4,14
"Encarnacion-Strand, Christian","687952","38","16.3",28.9,"111.4","86.8","99.8","95.4","81.2","451","148","403","15",39.5,"2",5.3,3.8
"Walker, Christian","572233","38","13.4",23.7,"112.8","91.8","104.4","95.6","89.7","402","158","402","19",50,"4",10.5,6
"Robles, Victor","645302","38","5.3",26.3,"112.6","85.1","94.4","88.5","83.7","384","125",,"7",18.4,"2",5.3,4.3
"Stott, Bryson","681082","38","18.6",31.6,"103.6","82.1","92","84.3","79.7","349","158","349","7",18.4,"1",2.6,1.7
"Arozarena, Randy","668227","38","13.2",34.2,"112.3","91.4","103.2","98.2","89.6","424","145","399","17",44.7,"4",10.5,5.8
"Espinal, Santiago","669289","38","12.4",26.3,"104.9","80.5","92.4","86.2","75.8","355","138",,"6",15.8,"0",0,0
"Bell, Josh","605137","38","6.9",28.9,"110.3","84.4","99.1","94.7","79.5","400","148","398","13",34.2,"3",7.9,4.8
"Burger, Jake","669394","38","7.1",23.7,"113","89.1","102.1","97","84","429","145","408","16",42.1,"4",10.5,7.3
"Farmer, Kyle","571657","37","18.3",43.2,"105.8","87.2","98.2","90.9","85.4","371","178",,"13",35.1,"2",5.4,3.8
"Chapman, Matt","656305","37","25.6",18.9,"107.3","89.8","99","94.8","91.1","411","169","393","13",35.1,"2",5.4,2.9
"Wells, Austin","669224","37","23.4",24.3,"110.1","92","101.9","95","92.8","372","193","360","19",51.4,"3",8.1,5.6
"Mullins, Cedric","656775","37","18.8",35.1,"108.4","89.7","100","93.5","83.4","388","188","382","15",40.5,"4",10.8,6.9
"Walker, Jordan","691023","37","11.3",24.3,"116.5","91.1","102.2","91.7","93.9","419","144","407","14",37.8,"2",5.4,3.3
"McMahon, Ryan","641857","37","18.5",29.7,"109.6","91.8","100.1","92.4","90.3","432","185","416","14",37.8,"3",8.1,4.6
"Wallner, Matt","670242","37","19.5",29.7,"112","90.7","101.6","95.3","82.2","404","208","404","18",48.6,"4",10.8,6.1
"O'Neill, Tyler","641933","36","24.8",27.8,"108","88.7","102.4","96.1","84.1","402","195","387","16",44.4,"7",19.4,13.5
"Vargas, Miguel","678246","36","19.5",27.8,"107.3","91.5","99.6","92.1","91.6","361","170",,"17",47.2,"0",0,0
